Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
D300242:bin_000031.fa,p__Firmicutes (UID1022),100,295,158,83.88,8.78,63.64,2373507,28400,2687,2687,3800,332,261,251,1191,1148,39.0,5.39,-100.0,-1,-1,65,208,22,0,0,0
D300242:bin_000032.fa,o__Clostridiales (UID1226),155,278,158,79.95,0.69,50.0,1684835,17532,1696,1696,4310,356,288,278,1411,1355,36.5,9.1,-100.0,-1,-1,74,202,2,0,0,0
D300242:bin_000033.fa,k__Bacteria (UID1453),901,171,117,81.38,52.78,28.28,2648504,49847,3093,3093,4359,315,258,242,1696,1575,37.1,6.1,-100.0,-1,-1,36,79,39,14,3,0
D300242:bin_000034.fa,k__Bacteria (UID203),5449,103,58,67.24,18.18,15.38,1876529,35342,2101,2101,5704,317,261,244,1418,1281,42.1,5.3,-100.0,-1,-1,21,55,21,6,0,0
D300242:bin_000035.fa,o__Bacteroidales (UID2657),160,492,269,69.58,2.09,60.0,1591574,19257,1499,1499,3372,388,306,293,2403,2260,36.8,4.84,-100.0,-1,-1,162,320,10,0,0,0
D300242:bin_000036.fa,o__Clostridiales (UID1212),172,261,147,78.18,4.76,100.0,2124467,20909,2298,2298,5757,335,268,259,2397,2286,36.3,5.05,-100.0,-1,-1,81,172,8,0,0,0
D300242:bin_000037.fa,o__Bacteroidales (UID2716),92,487,270,77.03,3.93,17.65,2345071,34178,2012,2012,5161,423,336,319,2356,2211,38.7,4.54,-100.0,-1,-1,131,339,17,0,0,0
D300242:bin_000038.fa,k__Bacteria (UID203),5449,103,57,89.15,34.02,82.93,4071922,55825,4202,4203,15227,368,289,275,1938,1796,38.8,6.69,-100.0,-1,-1,19,45,38,1,0,0
D300242:bin_000039.fa,f__Lachnospiraceae (UID1286),57,420,207,78.96,13.83,46.03,2324050,31529,2284,2284,26292,382,308,294,1739,1655,38.7,6.59,-100.0,-1,-1,75,292,48,5,0,0
D300242:bin_000040.fa,k__Bacteria (UID203),5449,104,58,71.16,12.99,70.0,1922483,26371,1907,1907,5974,393,311,298,2014,1864,39.1,4.4,-100.0,-1,-1,29,44,28,2,1,0
D300242:bin_000041.fa,o__Clostridiales (UID1212),172,261,147,83.79,10.11,79.17,2210479,22747,2470,2470,4148,331,266,257,1311,1249,35.7,7.18,-100.0,-1,-1,78,161,21,1,0,0
D300242:bin_000042.fa,o__Bacteroidales (UID2716),92,487,270,74.52,1.12,60.0,1954800,28340,1621,1621,14263,435,362,345,2556,2368,37.9,5.13,-100.0,-1,-1,140,342,5,0,0,0
D300242:bin_000043.fa,f__Veillonellaceae (UID1032),33,423,214,49.71,1.2,0.0,1219746,12140,1519,1519,2721,306,243,235,1447,1395,38.4,5.99,-100.0,-1,-1,213,204,6,0,0,0
D300242:bin_000044.fa,k__Bacteria (UID203),5449,103,57,91.8,65.82,9.3,3283008,72009,3649,3649,12320,348,269,249,2936,2624,38.5,5.62,-100.0,-1,-1,9,49,29,13,3,0
D300243:bin_000001.fa,o__Clostridiales (UID1212),172,261,147,98.64,0.0,0.0,2255411,22711,2152,2152,21468,369,305,294,2015,1894,38.1,5.07,-100.0,-1,-1,2,259,0,0,0,0
D300243:bin_000002.fa,c__Betaproteobacteria (UID3971),223,425,211,89.73,0.95,0.0,1977116,49542,1763,1782,66993,381,331,300,1664,1599,34.7,6.64,-100.0,-1,-1,36,385,1,3,0,0
D300243:bin_000003.fa,g__Prevotella (UID2724),55,567,296,99.32,1.85,42.86,2983463,41010,2358,2358,36024,435,362,344,2873,2719,37.3,5.34,-100.0,-1,-1,2,551,14,0,0,0
D300243:bin_000004.fa,o__Clostridiales (UID1226),155,278,158,95.89,2.22,40.0,2202627,22852,1988,1988,15193,384,318,306,2124,1990,36.5,6.21,-100.0,-1,-1,7,266,5,0,0,0
D300243:bin_000005.fa,p__Firmicutes (UID1022),100,295,158,98.56,1.64,50.0,2427675,20905,2264,2264,8722,362,282,273,3448,3278,38.0,6.2,-100.0,-1,-1,6,285,4,0,0,0
D300243:bin_000006.fa,o__Campylobacterales (UID3068),106,477,284,99.71,0.0,0.0,1738575,30746,1792,1792,114991,359,302,285,2882,2763,39.7,6.83,-100.0,-1,-1,2,475,0,0,0,0
D300243:bin_000007.fa,o__Selenomonadales (UID1024),64,334,167,96.41,6.83,91.67,3230831,35104,3489,3489,9246,345,272,262,4163,3892,37.4,5.23,-100.0,-1,-1,7,309,15,3,0,0
D300243:bin_000008.fa,g__Prevotella (UID2724),55,567,296,94.07,1.89,30.0,2377297,34259,2040,2040,19008,420,345,328,1826,1723,38.4,5.25,-100.0,-1,-1,34,523,10,0,0,0
D300243:bin_000009.fa,o__Bacteroidales (UID2716),92,487,270,93.23,1.36,60.0,2344294,31580,1862,1862,20900,455,370,353,2585,2404,37.2,5.23,-100.0,-1,-1,23,459,5,0,0,0
D300243:bin_000010.fa,g__Lactobacillus (UID377),91,430,154,97.37,10.51,41.18,4188558,75094,4755,4755,9101,331,253,237,3215,2937,34.2,6.68,-100.0,-1,-1,8,399,19,3,1,0
D300243:bin_000011.fa,o__Bacteroidales (UID2657),160,492,269,89.64,2.15,62.5,2330840,30118,2043,2043,9137,427,342,327,2097,1948,39.4,4.08,-100.0,-1,-1,58,426,8,0,0,0
D300243:bin_000012.fa,o__Bacteroidales (UID2617),213,406,265,94.88,1.95,60.0,2715574,39785,2439,2439,8730,405,321,305,2496,2288,37.3,4.68,-100.0,-1,-1,34,362,10,0,0,0
D300243:bin_000013.fa,o__Bacteroidales (UID2657),160,492,269,92.33,4.19,72.22,2612122,31366,1983,1983,18281,454,358,343,2517,2340,36.5,4.19,-100.0,-1,-1,26,450,15,1,0,0
D300243:bin_000014.fa,o__Clostridiales (UID1212),172,263,149,91.22,4.86,38.46,2180910,36637,2204,2204,12270,369,299,282,2575,2365,39.8,6.97,-100.0,-1,-1,19,231,13,0,0,0
D300243:bin_000015.fa,p__Firmicutes (UID1022),100,295,158,98.72,1.52,0.0,1934160,23881,1818,1818,20798,384,316,303,1483,1391,39.1,4.55,-100.0,-1,-1,17,273,5,0,0,0
D300243:bin_000016.fa,k__Bacteria (UID2329),174,149,89,93.26,3.53,0.0,1614925,37224,1639,1640,41364,355,295,272,2846,2521,40.0,6.2,-100.0,-1,-1,6,138,5,0,0,0
D300243:bin_000017.fa,k__Bacteria (UID203),5449,103,57,100.0,15.31,78.38,2450792,30618,2494,2494,16079,362,290,278,1982,1825,37.6,4.27,-100.0,-1,-1,0,70,31,2,0,0
D300243:bin_000018.fa,o__Lactobacillales (UID355),490,333,183,96.89,2.03,57.14,1870634,28838,2050,2050,10212,339,270,256,1393,1325,34.1,6.23,-100.0,-1,-1,20,306,7,0,0,0
D300243:bin_000019.fa,p__Firmicutes (UID1022),100,295,158,97.45,2.98,33.33,2779502,42667,2826,2826,13560,365,292,277,1631,1520,38.7,5.34,-100.0,-1,-1,11,275,9,0,0,0
D300243:bin_000020.fa,c__Epsilonproteobacteria (UID3065),111,445,271,87.18,6.75,90.32,1845872,29432,2179,2179,5326,322,248,235,3327,3061,37.6,5.9,-100.0,-1,-1,48,370,25,2,0,0
D300243:bin_000021.fa,o__Bacteroidales (UID2657),160,492,269,86.1,3.39,80.0,2758035,33313,2386,2386,7805,429,329,315,3174,2976,37.6,4.2,-100.0,-1,-1,65,412,15,0,0,0
D300243:bin_000022.fa,o__Bacteroidales (UID2716),92,487,270,95.41,2.1,22.22,2709719,43621,2291,2291,27772,424,351,332,2580,2364,37.8,5.51,-100.0,-1,-1,42,436,9,0,0,0
D300243:bin_000023.fa,k__Bacteria (UID2372),131,176,105,92.38,2.38,100.0,1640237,27906,1936,1936,5345,325,259,245,1496,1416,41.5,9.74,-100.0,-1,-1,11,162,3,0,0,0
D300243:bin_000024.fa,o__Bacteroidales (UID2716),92,487,270,95.69,0.8,75.0,2729636,38822,2137,2137,17199,446,361,343,2892,2701,38.6,4.51,-100.0,-1,-1,51,432,4,0,0,0
D300243:bin_000025.fa,o__Clostridiales (UID1212),172,263,149,88.59,12.44,57.14,2352730,37815,2668,2668,4348,339,268,254,1346,1269,41.1,6.13,-100.0,-1,-1,25,205,32,1,0,0
D300243:bin_000026.fa,k__Bacteria (UID2329),174,149,89,89.74,5.67,86.67,1522532,36535,1558,1559,19354,358,289,266,2719,2369,37.8,6.04,-100.0,-1,-1,14,120,15,0,0,0
D300243:bin_000027.fa,o__Bacteroidales (UID2716),92,487,270,95.54,3.23,50.0,2855562,40128,2438,2438,16070,426,332,315,2559,2375,37.4,5.54,-100.0,-1,-1,48,425,14,0,0,0
D300243:bin_000028.fa,o__Bacteroidales (UID2716),92,487,270,87.78,3.33,27.27,2385168,35546,2037,2037,14322,435,352,334,3247,3012,38.0,4.77,-100.0,-1,-1,68,410,8,1,0,0
D300243:bin_000029.fa,o__Bacteroidales (UID2657),160,492,269,91.46,26.5,95.61,2936858,36331,2784,2784,6210,407,305,292,2959,2785,36.0,4.91,-100.0,-1,-1,45,346,96,4,1,0
D300243:bin_000030.fa,k__Bacteria (UID1453),901,171,117,64.1,1.28,50.0,838267,12381,878,878,23108,355,289,275,1466,1392,34.6,5.51,-100.0,-1,-1,47,122,2,0,0,0
D300243:bin_000031.fa,o__Bacteroidales (UID2716),92,487,270,68.66,0.19,0.0,1792863,24946,1485,1485,35278,431,357,340,2449,2319,37.9,5.17,-100.0,-1,-1,140,346,1,0,0,0
D300243:bin_000032.fa,o__Clostridiales (UID1212),172,263,149,64.33,1.67,12.5,988641,16712,1089,1089,6107,350,274,259,1773,1638,38.0,5.78,-100.0,-1,-1,86,169,8,0,0,0
D300243:bin_000033.fa,f__Lachnospiraceae (UID1286),57,420,207,93.63,3.24,22.22,2180403,25873,2120,2120,17527,379,310,298,1568,1493,38.1,7.8,-100.0,-1,-1,71,340,9,0,0,0
D300243:bin_000034.fa,k__Bacteria (UID203),5449,104,58,86.91,25.43,48.57,2390236,32530,2521,2521,4019,378,291,278,1701,1640,39.2,3.99,-100.0,-1,-1,10,63,29,2,0,0
D300243:bin_000035.fa,f__Lachnospiraceae (UID1286),57,420,207,92.99,3.8,27.78,2089351,29689,2062,2062,10262,375,301,287,1822,1721,38.9,5.44,-100.0,-1,-1,74,328,18,0,0,0
D300243:bin_000036.fa,k__Bacteria (UID203),5449,104,58,70.69,4.94,84.21,1108356,15124,1373,1373,3225,295,241,230,1251,1200,34.1,9.24,-100.0,-1,-1,19,70,13,2,0,0
D300243:bin_000037.fa,k__Bacteria (UID1453),901,171,117,61.97,1.36,40.0,1275850,23740,1312,1312,15468,349,291,273,4257,3741,36.9,6.84,-100.0,-1,-1,63,105,2,1,0,0
D300243:bin_000038.fa,f__Lachnospiraceae (UID1286),57,420,207,83.67,2.66,12.5,2158425,28065,2083,2084,15757,390,312,299,1606,1513,39.8,5.35,-100.0,-1,-1,88,324,8,0,0,0
D300243:bin_000039.fa,k__Bacteria (UID203),5449,103,57,71.37,1.75,100.0,2000625,26682,1935,1935,15445,381,310,296,1518,1456,38.7,6.52,-100.0,-1,-1,54,48,1,0,0,0
D300243:bin_000040.fa,o__Bacteroidales (UID2716),92,487,270,85.22,2.57,31.25,2343306,33381,2028,2028,13512,424,340,323,2559,2422,38.2,5.25,-100.0,-1,-1,116,355,16,0,0,0
D300243:bin_000041.fa,k__Bacteria (UID203),5449,103,57,68.9,5.26,50.0,1906388,25467,1794,1794,15851,383,319,305,2432,2280,38.4,6.49,-100.0,-1,-1,56,45,1,1,0,0
D300243:bin_000042.fa,g__Prevotella (UID2721),65,530,280,64.93,1.8,44.44,1433743,20273,1303,1303,16648,405,321,305,1580,1482,39.1,5.98,-100.0,-1,-1,204,317,9,0,0,0
D300243:bin_000043.fa,o__Selenomonadales (UID1024),64,334,167,75.3,5.18,61.54,1555394,19260,1743,1743,3474,326,264,253,2311,2059,38.1,3.95,-100.0,-1,-1,102,219,13,0,0,0
D300243:bin_000044.fa,k__Bacteria (UID203),5449,103,57,94.42,35.93,23.33,7318624,108084,8576,8576,5476,331,250,237,2199,2091,39.3,6.48,-100.0,-1,-1,5,63,23,2,6,4
D300243:bin_000045.fa,k__Bacteria (UID2329),174,149,89,66.17,0.11,100.0,951876,13523,1026,1026,3482,359,283,270,1376,1286,39.1,5.13,-100.0,-1,-1,49,99,1,0,0,0
D300243:bin_000046.fa,o__Clostridiales (UID1212),172,263,149,66.2,8.49,7.69,1747999,17947,2138,2138,2508,306,237,229,1116,1073,37.1,7.05,-100.0,-1,-1,94,143,26,0,0,0
D300243:bin_000047.fa,k__Bacteria (UID203),5449,104,58,52.19,0.0,0.0,2027262,25211,1814,1814,4059,410,313,299,1351,1289,37.8,3.96,-100.0,-1,-1,68,36,0,0,0,0
D300243:bin_000048.fa,k__Bacteria (UID203),5449,104,58,63.56,0.86,0.0,1581050,20139,1593,1593,8712,371,301,288,1506,1431,39.0,5.44,-100.0,-1,-1,61,42,1,0,0,0
D300243:bin_000049.fa,o__Clostridiales (UID1212),172,263,149,65.72,4.53,33.33,1572436,20394,1600,1600,6216,370,297,284,1519,1445,38.4,5.79,-100.0,-1,-1,119,135,9,0,0,0
D300243:bin_000050.fa,k__Bacteria (UID203),5449,104,58,67.65,16.52,80.0,2283773,26972,2672,2672,2767,324,254,244,1415,1353,39.2,8.01,-100.0,-1,-1,50,39,15,0,0,0
D300243:bin_000051.fa,k__Bacteria (UID203),5449,102,56,57.24,0.0,0.0,1531141,14599,1753,1753,3563,318,256,247,1133,1104,37.8,8.84,-100.0,-1,-1,60,42,0,0,0,0
D300243:bin_000052.fa,c__Clostridia (UID1085),35,420,196,38.22,0.91,25.0,897430,11090,1144,1144,2593,294,233,223,1152,1104,38.1,6.95,-100.0,-1,-1,254,162,4,0,0,0
D300243:bin_000053.fa,o__Bacteroidales (UID2657),160,492,269,63.38,2.68,0.0,1478818,23225,1580,1580,3144,357,276,262,1436,1325,39.0,4.72,-100.0,-1,-1,191,292,9,0,0,0
D300244:bin_000001.fa,o__Bacteroidales (UID2716),92,487,270,96.94,1.17,37.5,2877374,40803,2304,2304,19570,441,353,335,2563,2372,38.6,4.88,-100.0,-1,-1,13,466,8,0,0,0
D300244:bin_000002.fa,p__Firmicutes (UID1022),100,295,158,98.61,2.06,75.0,2380763,19776,2204,2204,9105,358,283,274,2396,2273,38.0,5.55,-100.0,-1,-1,4,287,4,0,0,0
D300244:bin_000003.fa,o__Lactobacillales (UID355),490,333,183,99.45,1.96,33.33,2837514,47755,2928,2928,16036,356,284,268,2193,2061,34.2,5.94,-100.0,-1,-1,1,326,6,0,0,0
D300244:bin_000004.fa,o__Bacteroidales (UID2617),213,406,265,94.91,4.05,66.67,2629258,38687,2302,2302,9631,417,330,314,2172,2022,37.2,5.75,-100.0,-1,-1,15,376,15,0,0,0
D300244:bin_000005.fa,g__Prevotella (UID2724),55,567,296,97.62,3.15,14.29,2966773,48337,2492,2492,33041,429,354,335,3362,3025,37.9,5.53,-100.0,-1,-1,10,543,14,0,0,0
D300244:bin_000006.fa,p__Firmicutes (UID1022),100,295,158,99.03,1.9,0.0,3110989,50398,3043,3043,20599,372,305,288,4821,4469,38.9,4.49,-100.0,-1,-1,3,289,3,0,0,0
D300244:bin_000007.fa,o__Selenomonadales (UID1024),64,334,167,96.91,3.54,92.31,2594690,26571,2680,2680,9758,352,284,274,2304,2102,37.8,4.89,-100.0,-1,-1,8,315,10,1,0,0
D300244:bin_000008.fa,o__Selenomonadales (UID1024),64,334,167,99.4,2.69,12.5,2608740,33012,2676,2676,16546,364,288,276,1982,1826,37.5,3.85,-100.0,-1,-1,1,325,8,0,0,0
D300244:bin_000009.fa,o__Clostridiales (UID1212),172,263,149,97.65,0.67,0.0,2172807,23258,2198,2198,20823,359,294,283,1932,1803,37.7,6.46,-100.0,-1,-1,7,255,1,0,0,0
D300244:bin_000010.fa,g__Lactobacillus (UID377),91,430,154,97.49,4.12,63.64,1920771,30704,2047,2047,19446,347,278,263,1666,1501,35.3,8.16,-100.0,-1,-1,9,412,8,1,0,0
D300244:bin_000011.fa,o__Clostridiales (UID1212),172,263,149,96.64,0.67,0.0,2411873,38706,2190,2190,100478,392,329,312,6508,6062,40.6,4.89,-100.0,-1,-1,7,254,2,0,0,0
D300244:bin_000012.fa,o__Bacteroidales (UID2657),160,492,269,94.71,6.32,55.56,2665680,32093,2049,2049,15368,439,354,338,2517,2340,36.5,4.2,-100.0,-1,-1,21,446,24,1,0,0
D300244:bin_000013.fa,k__Bacteria (UID2372),131,176,105,93.33,1.27,50.0,1709330,29167,1942,1942,7349,332,269,254,1496,1415,41.6,9.74,-100.0,-1,-1,8,166,2,0,0,0
D300244:bin_000014.fa,k__Bacteria (UID1453),901,171,117,82.15,1.71,50.0,1578693,28191,1663,1664,7680,343,284,267,2073,1913,36.7,7.46,-100.0,-1,-1,37,132,2,0,0,0
D300244:bin_000015.fa,p__Firmicutes (UID1022),100,295,158,98.97,3.11,40.0,2661940,35457,2697,2697,15690,369,294,281,2821,2621,39.3,4.37,-100.0,-1,-1,14,271,10,0,0,0
D300244:bin_000016.fa,f__Lachnospiraceae (UID1286),57,420,207,95.81,5.59,29.17,2763670,37569,2662,2662,21221,384,308,294,2115,1982,38.7,5.53,-100.0,-1,-1,24,372,24,0,0,0
D300244:bin_000017.fa,o__Clostridiales (UID1375),50,332,124,97.29,4.12,44.44,2854350,52294,2913,2913,18879,339,283,265,2823,2609,41.5,5.25,-100.0,-1,-1,29,294,9,0,0,0
D300244:bin_000018.fa,o__Clostridiales (UID1226),155,278,158,85.67,0.84,100.0,2200577,25023,2155,2155,11653,368,298,286,2711,2576,39.7,6.42,-100.0,-1,-1,38,238,2,0,0,0
D300244:bin_000019.fa,o__Bacteroidales (UID2657),160,492,269,87.86,21.34,91.18,2758552,34138,2651,2651,5306,395,300,287,2592,2432,36.0,5.73,-100.0,-1,-1,45,370,66,10,1,0
D300244:bin_000020.fa,o__Bacteroidales (UID2716),92,487,270,93.67,2.93,46.15,2723850,38147,2270,2270,15204,428,339,322,2559,2375,37.2,5.38,-100.0,-1,-1,45,429,13,0,0,0
D300244:bin_000021.fa,o__Bacteroidales (UID2716),92,487,270,92.04,1.98,50.0,2928697,35930,2364,2364,12852,435,340,324,2300,2149,38.0,4.02,-100.0,-1,-1,59,420,8,0,0,0
D300244:bin_000022.fa,g__Prevotella (UID2724),55,567,296,94.46,1.64,0.0,2782177,44107,2214,2214,42953,447,372,352,1903,1787,38.7,5.2,-100.0,-1,-1,58,499,10,0,0,0
D300244:bin_000023.fa,g__Prevotella (UID2724),55,567,296,95.5,0.91,25.0,2681911,36655,2060,2060,38202,441,373,355,2873,2718,37.3,5.21,-100.0,-1,-1,50,513,4,0,0,0
D300244:bin_000024.fa,f__Lachnospiraceae (UID1286),57,420,207,96.45,10.91,25.4,4769856,64972,5089,5089,13677,362,274,261,1730,1637,39.8,5.28,-100.0,-1,-1,25,354,37,2,0,2
D300244:bin_000025.fa,o__Clostridiales (UID1212),172,263,149,73.63,2.03,83.33,1546346,17907,1783,1783,3553,329,257,247,1416,1361,36.3,4.54,-100.0,-1,-1,62,195,6,0,0,0
D300244:bin_000026.fa,k__Bacteria (UID1453),901,171,117,78.18,0.95,0.0,1707363,37109,1725,1725,7028,359,298,276,4711,4083,36.6,4.26,-100.0,-1,-1,50,119,2,0,0,0
D300244:bin_000027.fa,o__Clostridiales (UID1226),155,278,158,85.88,1.13,20.0,1767950,18436,1759,1759,4908,354,291,281,1539,1482,36.4,8.24,-100.0,-1,-1,39,234,5,0,0,0
D300244:bin_000028.fa,o__Clostridiales (UID1226),155,278,158,93.53,8.56,14.29,3083458,38173,2868,2868,17941,372,306,292,2995,2844,40.0,4.2,-100.0,-1,-1,38,221,18,1,0,0
D300244:bin_000029.fa,o__Bacteroidales (UID2657),160,492,269,89.17,5.76,53.57,2978277,36067,2509,2509,10220,435,336,322,2593,2419,37.4,5.57,-100.0,-1,-1,76,388,28,0,0,0
D300244:bin_000030.fa,o__Bacteroidales (UID2716),92,487,270,89.58,3.27,6.25,2639380,39021,2252,2252,16927,440,350,333,2556,2368,38.0,4.85,-100.0,-1,-1,72,399,16,0,0,0
D300244:bin_000031.fa,o__Clostridiales (UID1212),172,261,147,90.77,1.87,25.0,2154726,21641,1951,1951,9622,374,310,299,1436,1380,36.0,6.59,-100.0,-1,-1,47,210,4,0,0,0
D300244:bin_000032.fa,k__Bacteria (UID203),5449,104,58,96.55,23.64,37.63,2819628,40619,2489,2489,20452,414,334,318,2511,2328,38.4,5.57,-100.0,-1,-1,2,72,5,3,12,10
D300244:bin_000033.fa,k__Bacteria (UID203),5449,103,58,84.48,28.59,38.71,1979370,38017,2204,2204,7065,328,268,251,2397,2208,36.9,5.13,-100.0,-1,-1,17,55,17,13,1,0
